"date","close","volume","open","high","low"
"2010/06/16","36.9150","6335416.0000","36.6850","37.2500","36.5400"
"2010/06/15","36.9900","4346704.0000","36.1450","36.9900","36.1450"
"2010/06/14","36.1100","4373362.0000","36.2450","36.4750","35.9550"
"2010/06/11","36.1650","4399174.0000","35.6450","36.3200","35.5150"
"2010/06/10","35.8750","5857316.0000","35.5950","36.2750","35.5700"
"2010/06/09","35.0050","6451398.0000","35.2600","35.6650","34.8350"
"2010/06/08","35.1300","6128390.0000","34.7950","35.2150","34.3250"
"2010/06/07","34.7950","5512986.0000","35.2700","35.5100","34.7400"
"2010/06/04","35.3850","7670350.0000","36.1800","36.2350","35.0800"
"2010/06/03","36.8150","5641222.0000","36.6000","36.9300","36.4700"
"2010/06/02","36.5000","6306638.0000","35.6550","36.5300","35.6550"
"2010/06/01","35.5900","7332098.0000","35.7200","36.3100","35.3500"
"2010/05/28","36.1900","7761590.0000","36.8100","36.9300","35.9800"
"2010/05/27","36.9500","7345412.0000","36.6400","36.9800","36.3800"
"2010/05/26","36.2600","8335430.0000","36.7600","36.8100","35.9600"
"2010/05/25","36.4550","10525362.0000","35.0450","36.5000","34.6350"
"2010/05/24","35.6700","11334568.0000","35.5850","35.9550","35.3550"
"2010/05/21","35.6950","8531342.0000","34.5700","35.8900","34.0700"
"2010/05/20","35.1550","12519014.0000","35.2650","35.7950","34.7850"
"2010/05/19","36.1250","11736752.0000","36.2700","36.3600","35.5000"
"2010/05/18","36.4650","9406782.0000","37.0800","37.5050","36.3500"
"2010/05/17","36.8150","8446852.0000","36.8650","36.9250","36.0150"
"2010/05/14","36.8700","9503584.0000","37.3150","37.5000","36.5900"
"2010/05/13","37.7750","10480898.0000","38.8250","38.9950","37.6750"
"2010/05/12","38.9250","4968308.0000","38.3550","38.9900","38.0050"
"2010/05/11","38.2150","6866224.0000","37.9000","38.5350","37.8800"
"2010/05/10","38.3250","13211442.0000","36.9450","38.3850","36.8700"
"2010/05/07","35.3050","10739622.0000","35.6750","36.2200","34.8876"
"2010/05/06","36.1500","13135792.0000","37.2750","37.9950","33.4950"
"2010/05/05","37.6050","8654856.0000","38.4350","38.6499","37.3500"
"2010/05/04","38.6750","7217008.0000","39.0100","39.2750","38.5500"
"2010/05/03","38.8850","4161812.0000","38.0050","39.1950","37.9550"
"2010/04/30","37.9550","4934188.0000","38.7250","38.9400","37.9450"
"2010/04/29","38.7850","4522352.0000","38.5500","38.8450","38.3600"
"2010/04/28","38.2200","5387534.0000","38.4700","39.0150","38.0700"
"2010/04/27","38.3700","5496944.0000","38.8350","39.2450","38.3050"
"2010/04/26","39.0100","3025240.0000","38.9550","39.2350","38.8900"
"2010/04/23","38.9500","5074532.0000","38.9100","39.2200","38.6500"
"2010/04/22","39.1150","6922040.0000","38.1450","39.2625","38.1050"
"2010/04/21","38.3600","5380234.0000","38.2000","38.5695","38.0850"
"2010/04/20","38.1800","4792260.0000","38.0100","38.2900","37.9500"
"2010/04/19","37.7900","4389928.0000","37.4750","37.9000","37.1250"
"2010/04/16","37.5850","6863308.0000","37.7950","38.0000","37.4900"
"2010/04/15","37.8200","3501512.0000","37.7850","37.9100","37.4851"
"2010/04/14","37.9000","3400586.0000","37.8050","37.9300","37.5000"
"2010/04/13","37.7550","3512694.0000","37.7150","37.9650","37.3750"
"2010/04/12","37.7650","4433678.0000","37.6450","37.9750","37.6000"
"2010/04/09","37.5900","6250622.0000","37.0900","37.6400","36.8250"
"2010/04/08","36.9950","5114974.0000","36.7300","37.1400","36.5300"
"2010/04/07","36.7950","4425276.0000","36.9850","37.0942","36.6500"
"2010/04/06","36.9550","4214192.0000","36.7700","37.0750","36.7500"
"2010/04/05","37.0550","3540896.0000","37.0950","37.4100","36.8100"
"2010/04/01","37.0050","4188250.0000","36.9800","37.1950","36.8750"
"2010/03/31","36.7500","3958108.0000","36.7450","37.0500","36.6401"
"2010/03/30","36.9050","3230692.0000","37.0050","37.2000","36.7750"
"2010/03/29","36.9850","3261292.0000","37.0800","37.1650","36.7900"
"2010/03/26","36.9450","4330876.0000","36.9000","37.3750","36.6850"
"2010/03/25","36.7850","5660828.0000","37.0850","37.3900","36.7650"
"2010/03/24","36.6900","5534236.0000","37.1750","37.1950","36.5050"
"2010/03/23","37.2450","4490180.0000","37.2000","37.2950","36.9850"
"2010/03/22","36.9400","5810922.0000","36.4450","37.0800","36.4100"
"2010/03/19","36.7600","9394850.0000","37.1300","37.1600","36.5600"
"2010/03/18","37.3300","21844180.0000","36.6750","37.6750","36.6500"
"2010/03/17","35.4400","7311982.0000","35.1950","35.6650","35.1400"
"2010/03/16","35.1900","5053470.0000","35.1650","35.5250","35.0500"
"2010/03/15","35.1950","4757198.0000","34.8750","35.3650","34.8600"
"2010/03/12","34.9500","3604176.0000","34.7100","34.9950","34.7050"
"2010/03/11","34.8750","3478712.0000","34.5500","34.9250","34.3550"
"2010/03/10","34.5600","2796494.0000","34.4550","34.6250","34.2050"
"2010/03/09","34.4650","3021328.0000","34.3800","34.5900","34.2650"
"2010/03/08","34.4100","3542160.0000","33.9850","34.4800","33.9850"
"2010/03/05","34.1600","3730184.0000","33.9150","34.2550","33.9150"
"2010/03/04","33.8150","3153218.0000","34.0100","34.0300","33.7200"
"2010/03/03","33.8200","4334154.0000","33.8500","33.9850","33.6300"
"2010/03/02","34.0150","4922562.0000","34.0300","34.1650","33.8400"
"2010/03/01","34.1200","5337096.0000","33.9550","34.3550","33.8050"
"2010/02/26","33.8000","9816664.0000","33.1150","33.9250","33.1150"
"2010/02/25","33.0800","7983784.0000","32.5050","33.1400","32.0050"
"2010/02/24","32.4650","5800266.0000","32.0000","32.5100","32.0000"
"2010/02/23","32.0650","3869498.0000","32.1500","32.2750","31.8050"
"2010/02/22","32.1550","3432548.0000","32.2850","32.3850","32.0150"
"2010/02/19","32.1750","4749082.0000","32.0700","32.3000","32.0050"
"2010/02/18","32.2200","3229054.0000","32.2450","32.2950","31.9550"
"2010/02/17","32.2400","5289134.0000","31.9350","32.3450","31.8100"
"2010/02/16","31.8250","4810338.0000","31.4100","31.8250","31.1650"
"2010/02/12","31.2450","5576140.0000","31.2600","31.2750","30.8600"
"2010/02/11","31.4750","3505008.0000","31.2150","31.5850","31.0600"
"2010/02/10","31.3200","3849272.0000","31.2550","31.4750","31.1250"
"2010/02/09","31.2550","4714746.0000","30.8900","31.5500","30.8350"
"2010/02/08","30.6500","4085560.0000","30.8100","31.0600","30.6150"
"2010/02/05","30.8500","6551894.0000","31.0100","31.1150","30.4450"
"2010/02/04","31.0450","8955484.0000","31.7650","31.8750","31.0250"
"2010/02/03","32.0000","3943124.0000","31.8450","32.0500","31.6600"
"2010/02/02","31.9650","4767142.0000","32.1450","32.1450","31.8050"
"2010/02/01","32.0500","3195310.0000","31.9850","32.2250","31.7550"
"2010/01/29","31.8750","5201262.0000","31.8200","32.3250","31.7750"
"2010/01/28","31.7600","3579062.0000","32.1250","32.5000","31.6850"
"2010/01/27","32.0000","6776462.0000","31.8350","32.0850","31.6250"
"2010/01/26","31.8700","3355736.0000","31.6650","32.0550","31.5250"
"2010/01/25","31.8350","5371494.0000","31.6850","32.0200","31.6550"
"2010/01/22","31.4900","6653398.0000","31.7550","32.1200","31.4750"
"2010/01/21","31.8200","6991762.0000","32.1550","32.1700","31.5150"
"2010/01/20","32.0900","3997564.0000","32.1050","32.2050","31.7850"
